연도,지사,동물종류,건수
2004,중부내륙지선,고라니,6
2005,서해안선,노루,3
2005,중부내륙선,노루,1
2011,서울양양,멧돼지,1
2013,남해선(영암순천),멧토끼,2
2012,통영대전선,기타,6
2013,서천공주선,너구리,1
2013,동해선,멧돼지,2
2012,서울양양,오소리,1
2012,울산선,고라니,6
2013,익산장수선,멧토끼,1
2014,호남선의지선,기타,1
2016,당진대전선,너구리,10
2016,당진대전선,삵,1
2015,평택제천선,너구리,2
2016,중부내륙선,너구리,1
2017,중앙선,기타,1
2011,대구포항선,기타,1
2009,청주상주선,너구리,2
2008,남해제1지선,너구리,1
2007,울산선,너구리,1
2006,통영대전선,족제비,4
2013,논산천안선,호남선,족제비,4
2011,남해선(순천부산),멧돼지,2
2011,광주대구선,삵,2
2011,서천공주선,멧돼지,1
2013,논산천안선,호남선,멧토끼,2
2012,동해선,너구리,4
2014,남해제1지선,너구리,1
2016,호남선의지선,기타,1
2015,평택제천선,멧돼지,3
2007,고창담양선,고라니,6
2011,서해안선,오소리,2
2006,중앙선의 지선,멧토끼,1
2006,광주대구선,족제비,3
2008,제2경인선,너구리,2
2009,남해선(순천부산),삵,2
2008,논산천안선,호남선,족제비,3
2004,경부선,사슴,1
2005,논산천안선,호남선,삵,1
2004,광주대구선,노루,2
2004,대구포항선,오소리,1
2005,남해제1지선,노루,1
2012,경부선,기타,3
2014,통영대전선,기타,2
2014,청주상주선,너구리,2
2015,서해안선,멧돼지,3
2016,중부내륙지선,고라니,2
2016,남해선(영암순천),멧돼지,2
2016,남해제1지선,멧돼지,1
2016,통영대전선,멧토끼,3
2011,무안광주선,멧토끼,1
2010,논산천안선,호남선,삵,3
2008,무안광주선,삵,1
2009,남해선(순천부산),멧토끼,2
2004,울산선,오소리,1
2012,평택제천선,너구리,2
2012,남해선(영암순천),오소리,1
2013,서해안선,오소리,1
2014,영동선,멧돼지,4
2011,남해제1지선,너구리,1
2009,호남선의지선,족제비,1
2007,중앙선의 지선,너구리,1
2013,남해선(영암순천),삵,1
2013,통영대전선,오소리,1
2012,제2중부선,너구리,2
2015,중앙선,멧토끼,1
2014,통영대전선,오소리,2
2014,고창담양선,너구리,1
2015,서울외곽순환선,족제비,1
2011,논산천안선,호남선,멧토끼,2
2009,고창담양선,족제비,2
2008,남해선(순천부산),족제비,1
2008,남해제2지선,너구리,2
2004,서울외곽순환선,너구리,1
2006,대구포항선,삵,1
2012,익산장수선,기타,1
2016,서해안선,멧돼지,1
2017,청주상주선,너구리,1
2016,동해선,너구리,1
2009,무안광주선,삵,1
2009,고창담양선,멧토끼,1
2009,중앙선,오소리,1
2008,남해제1지선,고라니,1
2015,경부선,기타,1
2015,광주대구선,삵,1
2007,통영대전선,너구리,99
2007,논산천안선,호남선,고라니,122
2007,중부내륙지선,고라니,3
2011,익산장수선,고라니,9
2011,영동선,고라니,187
2011,동해선,너구리,8
2011,고창담양선,너구리,16
2011,서해안선,고라니,139
2011,남해선(순천부산),너구리,3
2011,호남선의지선,너구리,8
2011,순천완주선,멧토끼,4
2010,청주상주선,오소리,4
2010,중앙선,멧토끼,12
2009,통영대전선,고라니,293
2009,서해안선,너구리,33
2010,남해선(순천부산),너구리,3
2009,논산천안선,호남선,고라니,42
2010,무안광주선,삵,2
2010,남해제1지선,족제비,1
2009,남해선(순천부산),고라니,40
2006,논산천안선,호남선,고라니,126
2006,대구포항선,고라니,12
2008,논산천안선,호남선,고라니,59
2008,청주상주선,너구리,17
2008,대전남부순환선,너구리,5
2008,대구포항선,고라니,9
2009,동해선,고라니,35
2008,호남선의지선,멧토끼,4
2008,남해제2지선,고라니,5
2006,수도권 제2순환선,고라니,4
2005,영동선,오소리,1
2005,광주대구선,너구리,142
2004,서해안선,고라니,97
2004,광주대구선,너구리,146
2004,중부내륙선,너구리,64
2005,중앙선,고라니,374
2005,중부내륙선,고라니,113
2005,영동선,삵,4
2004,중부내륙선,고라니,143
2005,대구포항선,멧토끼,11
2004,경부선,멧토끼,8
2005,울산선,고라니,3
2004,광주대구선,멧토끼,15
2005,광주대구선,족제비,5
2004,서해안선,멧토끼,24
2005,대구포항선,오소리,4
2005,대전남부순환선,족제비,1
2006,논산천안선,호남선,노루,7
2004,논산천안선,호남선,멧토끼,9
2004,경부선,족제비,3
2005,동해선,고라니,16
2004,남해선(순천부산),멧토끼,2
2004,중부내륙선,멧토끼,46
2004,대전남부순환선,고라니,9
2013,중앙선,고라니,387
2012,당진대전선,기타,1
2013,논산천안선,호남선,너구리,32
2013,논산천안선,호남선,고라니,104
2013,통영대전선,너구리,22
2011,울산선,멧토끼,1
2011,호남선의지선,멧돼지,4
2012,무안광주선,너구리,5
2012,남해선(순천부산),고라니,14
2012,고창담양선,너구리,9
2012,동해선,멧토끼,1
2013,남해제2지선,고라니,1
2014,대전남부순환선,고라니,3
2015,호남선의지선,고라니,48
2015,서해안선,고라니,208
2015,경부선,고라니,182
2014,경부선,고라니,126
2015,순천완주선,너구리,5
2014,남해선(순천부산),고라니,15
2014,남해선(영암순천),고라니,18
2014,영동선,너구리,4
2015,당진대전선,기타,2
2015,평택제천선,기타,4
